"dates_s","gold_price"
"2017-08-11",1288.3
"2017-08-12",1285.37
"2017-08-13",1283.15
"2017-08-14",1281.1
"2017-08-15",1276.16
"2017-08-16",1270.15
"2017-08-17",1285.9
"2017-08-18",1295.25
"2017-08-19",1292.21
"2017-08-20",1289.91
"2017-08-21",1287.6
"2017-08-22",1285.1
"2017-08-23",1286.45
"2017-08-24",1285.9
"2017-08-25",1287.05
"2017-08-26",1296.17
"2017-08-27",1304.82
"2017-08-28",1313.47
"2017-08-29",1323.4
"2017-08-30",1310.6
"2017-08-31",1305.8
"2017-09-01",1318.4
"2017-09-02",1323.38
"2017-09-03",1328.74
"2017-09-04",1334.6
"2017-09-05",1331.15
"2017-09-06",1340.15
"2017-09-07",1340.45
"2017-09-08",1350.9
"2017-09-09",1346.13
"2017-09-10",1342.21
"2017-09-11",1338.75
"2017-09-12",1326.25
"2017-09-13",1332.25
"2017-09-14",1323
"2017-09-15",1325
"2017-09-16",1321.23
"2017-09-17",1317.76
"2017-09-18",1314.4
"2017-09-19",1308.45
"2017-09-20",1314.9
"2017-09-21",1297.35
"2017-09-22",1297
"2017-09-23",1296.75
"2017-09-24",1296.43
"2017-09-25",1295.5
"2017-09-26",1306.9
"2017-09-27",1291.3
"2017-09-28",1284.3
"2017-09-29",1286.95
"2017-09-30",1282.12
"2017-10-01",1277.68
"2017-10-02",1273.1
"2017-10-03",1270.7
"2017-10-04",1275.55
"2017-10-05",1278.4
"2017-10-06",1268.2
"2017-10-07",1273.47
"2017-10-08",1277.89
"2017-10-09",1282.15
"2017-10-10",1289.6
"2017-10-11",1290.2
"2017-10-12",1294.45
"2017-10-13",1293.9
"2017-10-14",1297.42
"2017-10-15",1300.73
"2017-10-16",1305.15
"2017-10-17",1289.7
"2017-10-18",1280.65
"2017-10-19",1283.4
"2017-10-20",1280.25
"2017-10-21",1278.72
"2017-10-22",1277.11
"2017-10-23",1275.25
"2017-10-24",1278.3
"2017-10-25",1273
"2017-10-26",1278
"2017-10-27",1267.8
"2017-10-28",1269.9
"2017-10-29",1271.33
"2017-10-30",1272.75
"2017-10-31",1274.4
"2017-11-01",1279.25
"2017-11-02",1276.4
"2017-11-03",1275.3
"2017-11-04",1274.19
"2017-11-05",1273.08
"2017-11-06",1271.6
"2017-11-07",1276.35
"2017-11-08",1282.25
"2017-11-09",1284
"2017-11-10",1284.45
"2017-11-11",1282.29
"2017-11-12",1280.29
"2017-11-13",1278.4
"2017-11-14",1273.7
"2017-11-15",1285.7
"2017-11-16",1277.7
"2017-11-17",1283.85
"2017-11-18",1286.28
"2017-11-19",1288.89
"2017-11-20",1292.35
"2017-11-21",1280
"2017-11-22",1283.95
"2017-11-23",1290.15
"2017-11-24",1289.15
"2017-11-25",1291.04
"2017-11-26",1292.8
"2017-11-27",1294.7
"2017-11-28",1293.9
"2017-11-29",1294.85
"2017-11-30",1282.15
"2017-12-01",1277.25
"2017-12-02",1278.02
"2017-12-03",1278.44
"2017-12-04",1279.1
"2017-12-05",1275.9
"2017-12-06",1268.55
"2017-12-07",1256.8
"2017-12-08",1245.85
"2017-12-09",1248.02
"2017-12-10",1249.44
"2017-12-11",1251.4
"2017-12-12",1243.4
"2017-12-13",1241.6
"2017-12-14",1255.6
"2017-12-15",1257.25
"2017-12-16",1257.72
"2017-12-17",1258.3
"2017-12-18",1258.65
"2017-12-19",1263.1
"2017-12-20",1265.95
"2017-12-21",1265.85
"2017-12-22",1268.05
"2017-12-23",1271.62
"2017-12-24",1275.11
"2017-12-25",1278.59
"2017-12-26",1282.08
"2017-12-27",1285.4
"2017-12-28",1291.6
"2017-12-29",1296.5
"2017-12-30",1300.5
"2017-12-31",1304.55
"2018-01-01",1308.6
"2018-01-02",1312.8
"2018-01-03",1314.6
"2018-01-04",1313.7
"2018-01-05",1317.9
"2018-01-06",1317.98
"2018-01-07",1318.28
"2018-01-08",1318.8
"2018-01-09",1314.95
"2018-01-10",1321.65
"2018-01-11",1319.85
"2018-01-12",1332.9
"2018-01-13",1335.68
"2018-01-14",1339.01
"2018-01-15",1343
"2018-01-16",1334.95
"2018-01-17",1337.35
"2018-01-18",1329.75
"2018-01-19",1335.8
"2018-01-20",1335.1
"2018-01-21",1334.74
"2018-01-22",1334.15
"2018-01-23",1337.1
"2018-01-24",1350.5
"2018-01-25",1360.25
"2018-01-26",1354.35
"2018-01-27",1352.47
"2018-01-28",1350.42
"2018-01-29",1348.4
"2018-01-30",1345.7
"2018-01-31",1343.35
"2018-02-01",1341.1
"2018-02-02",1345
"2018-02-03",1342.3
"2018-02-04",1339.96
"2018-02-05",1337.1
"2018-02-06",1344.65
"2018-02-07",1328.5
"2018-02-08",1311.05
"2018-02-09",1316.05
"2018-02-10",1317.97
"2018-02-11",1320
"2018-02-12",1321.7
"2018-02-13",1329.4
"2018-02-14",1330.75
"2018-02-15",1353.7
"2018-02-16",1358.6
"2018-02-17",1354.35
"2018-02-18",1350.68
"2018-02-19",1347.4
"2018-02-20",1337.4
"2018-02-21",1328.6
"2018-02-22",1323.5
"2018-02-23",1328.9
"2018-02-24",1332.02
"2018-02-25",1335.23
"2018-02-26",1339.05
"2018-02-27",1332.75
"2018-02-28",1320.3
"2018-03-01",1311.25
"2018-03-02",1316.75
"2018-03-03",1319.79
"2018-03-04",1322.92
"2018-03-05",1326.3
"2018-03-06",1324.95
"2018-03-07",1332.5
"2018-03-08",1325.4
"2018-03-09",1319.35
"2018-03-10",1318.92
"2018-03-11",1318.16
"2018-03-12",1317.25
"2018-03-13",1318.7
"2018-03-14",1324.95
"2018-03-15",1323.35
"2018-03-16",1320.05
"2018-03-17",1317.37
"2018-03-18",1314.65
"2018-03-19",1311.7
"2018-03-20",1312.75
"2018-03-21",1316.35
"2018-03-22",1328.85
"2018-03-23",1342.35
"2018-03-24",1343.9
"2018-03-25",1346.13
"2018-03-26",1348.4
"2018-03-27",1350.65
"2018-03-28",1341.05
"2018-03-29",1323.9
"2018-03-30",1327.41
"2018-03-31",1329.75
"2018-04-01",1332.09
"2018-04-02",1334.44
"2018-04-03",1336.6
"2018-04-04",1343.15
"2018-04-05",1327.05
"2018-04-06",1325.6
"2018-04-07",1326.83
"2018-04-08",1327.86
"2018-04-09",1328.5
"2018-04-10",1335.95
"2018-04-11",1345.2
"2018-04-12",1345.9
"2018-04-13",1340.75
"2018-04-14",1342.16
"2018-04-15",1343.21
"2018-04-16",1344.4
"2018-04-17",1342.95
"2018-04-18",1346.55
"2018-04-19",1347.9
"2018-04-20",1340.15
"2018-04-21",1336.3
"2018-04-22",1332.25
"2018-04-23",1328
"2018-04-24",1327.35
"2018-04-25",1325.7
"2018-04-26",1321.9
"2018-04-27",1317.7
"2018-04-28",1317.38
"2018-04-29",1316.84
"2018-04-30",1316.25
